arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct,cpu_credit_balance,cpu_surplus_credit,cpu_util_peak_pct,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A1,500,rep10,2026-06-12T01:25:14+00:00,2026-06-12T01:29:31+00:00,257.0,1872.434195429852,1.5233715,52.901814,56.3468165,60034.853494,0.0,138.72175978412102,35436,0.0221808330511344,786,34650,8,500,35436,60.8467516605028,118.92168481666668,0.0,76.04981079233833,,,,,,,,,,,,,
A1,500,rep11,2026-06-12T12:43:17+00:00,2026-06-12T12:47:34+00:00,257.0,1873.737854300265,1.575911,53.1286316,56.995265000000025,60014.203555,0.0,138.66402563420368,35413,0.0221670008189083,785,34628,8,500,35413,42.44575879490704,119.71323625,0.0,77.16260094912997,,,,,,,,,,,,,
A1,500,rep12,2026-06-12T13:12:37+00:00,2026-06-12T13:16:53+00:00,256.0,1871.7208561798948,1.5410845,52.988106,57.5053445,60023.030996,0.0,138.73284153957044,35436,0.0221526131617564,785,34651,8,500,35436,32.0570897078786,118.85540041666668,0.0,76.6452581533072,,,,,,,,,,,,,
A1,500,rep13,2026-06-12T13:41:56+00:00,2026-06-12T13:46:12+00:00,256.0,1876.5422489893017,1.51015,52.8931871,56.47131714999999,60004.863882,0.0,138.63527425321135,35410,0.0222818412877718,789,34621,8,500,35410,20.77467975864975,117.98270081901042,0.0,74.96916563885463,,,,,,,,,,,,,
A1,500,rep14,2026-06-12T14:11:16+00:00,2026-06-12T14:15:32+00:00,256.0,1867.5316179003585,1.554274,53.1658526,57.9150388,60016.400494,0.0,138.78848917967105,35457,0.0221394929069013,785,34672,8,500,35457,11.14499927666606,117.28466956666666,0.0,54.87469819332279,,,,,,,,,,,,,
A1,500,rep15,2026-06-12T14:40:35+00:00,2026-06-12T14:44:51+00:00,256.0,1869.882097762912,1.575099,53.1423012,57.400383000000026,60007.182195,0.0,138.71595034117203,35433,0.0222109333107555,787,34646,8,500,35433,55.89201166650016,121.95133493333331,0.0,75.80172499916748,,,,,,,,,,,,,
A1,500,rep16,2026-06-16T00:49:08+00:00,2026-06-16T00:53:25+00:00,257.0,1953.1032974455572,1.68296,53.6039383,58.67536094999998,60008.688019,0.0,135.8746756317579,34692,0.0247607517583304,859,33833,8,500,34692,54.86043371182426,106.81829018333332,0.0,76.62474144258357,,,,,,,,,,,,,
A1,500,rep17,2026-06-16T01:18:27+00:00,2026-06-16T01:22:44+00:00,257.0,1870.3521299117488,1.553187,52.974749800000005,56.3785118,60006.423777,0.0,138.77440214090876,35445,0.0221469882917195,785,34660,8,500,35445,52.97166769446157,105.97470878333333,0.0,78.65833333333332,,,,,,,,,,,,,
A1,500,rep18,2026-06-16T01:47:47+00:00,2026-06-16T01:52:03+00:00,256.0,1874.430114331672,1.547997,52.818195800000005,56.20701079999999,60001.60478,0.0,138.6838514405099,35424,0.0222165763324299,787,34637,8,500,35424,43.92345904656548,104.95637058841146,0.0,78.77631293854898,,,,,,,,,,,,,
A1,500,rep19,2026-06-16T01:59:41+00:00,2026-06-16T02:03:58+00:00,257.0,1871.0502318243648,1.6256325,53.005334000000005,56.27167,60005.22173,0.0,138.7693961014174,35446,0.022089939626474,783,34663,8,500,35446,57.13477833702772,104.05152416666668,0.0,77.43333333333334,,,,,,,,,,,,,
A1,500,rep20,2026-06-16T02:29:01+00:00,2026-06-16T02:33:18+00:00,257.0,1872.8624657220785,1.5764255,52.9105959,56.39651259999997,60002.926361,0.0,138.73688715778013,35430,0.0221563646627152,785,34645,7,500,35430,58.83833333333333,103.25168191666668,0.0,78.16666666666666,,,,,,,,,,,,,
A1,500,rep21,2026-06-17T02:38:33+00:00,2026-06-17T02:42:49+00:00,256.0,1874.7280307094188,1.607955,53.11040490000001,56.34597295,60003.547589,0.0,138.62511224342867,35412,0.0222241048232237,787,34625,8,500,35412,54.685,94.84714286666669,0.0,79.36666666666666,,,,,,,,,,,,,
A1,500,rep22,2026-06-17T03:07:53+00:00,2026-06-17T03:12:09+00:00,256.0,1872.9886603331408,1.7098179999999998,53.9371837,58.66189524999997,60010.173325,0.0,138.47721189048198,35400,0.0221186440677966,783,34617,8,500,35400,31.6184852230898,92.7040721798828,0.0,76.83851086865994,,,,,,,,,,,,,
A1,500,rep23,2026-06-17T03:37:12+00:00,2026-06-17T03:41:29+00:00,257.0,1865.512516042688,1.515804,52.804212,55.69753560000001,60009.549231,0.0,138.8562940626869,35453,0.0220855780893013,783,34670,8,500,35453,21.68,93.17477928333334,0.0,76.225,,,,,,,,,,,,,
A1,500,rep24,2026-06-17T04:06:32+00:00,2026-06-17T04:10:48+00:00,256.0,1869.4321519517505,1.618158,52.9561936,56.11516979999995,60014.495412,0.0,138.7663569497861,35455,0.0219997179523339,780,34675,8,500,35455,11.89833333333333,92.14220205,0.0,58.69166666666666,,,,,,,,,,,,,
A1,500,rep25,2026-06-17T04:35:52+00:00,2026-06-17T04:40:08+00:00,256.0,1866.0681523794613,1.525159,52.817183,56.0125542,60003.961696,0.0,138.81356996351406,35459,0.022025437829606,781,34678,8,500,35459,55.76874999999999,96.68756189791664,0.0,78.99166666666667,,,,,,,,,,,,,
A1,500,rep26,2026-06-18T00:13:15+00:00,2026-06-18T00:17:32+00:00,257.0,1942.7965448188547,1.5262915,53.2160664,57.639342299999946,60004.678197,0.0,136.27491466481467,34800,0.0245114942528735,853,33947,8,500,34800,39.28316092096282,90.26908375,0.0,78.03333333333333,,,,,,,,,,,,,
A1,500,rep27,2026-06-18T00:42:35+00:00,2026-06-18T00:46:51+00:00,256.0,1870.1171028107813,1.3855849999999998,52.777166900000005,56.00254059999999,60025.146479,0.0,138.75175940567095,35440,0.022178329571106,786,34654,8,500,35440,29.249026675423316,89.2676984,0.0,77.17073984485778,,,,,,,,,,,,,
A1,500,rep28,2026-06-18T01:11:54+00:00,2026-06-18T01:16:10+00:00,256.0,1872.8547212065075,1.5406844999999998,53.0040369,56.53820459999999,60011.47807,0.0,138.7293892922134,35432,0.0222115601715962,787,34645,8,500,35432,18.054359658250203,88.38174880052084,0.0,79.17125412871584,,,,,,,,,,,,,
A1,500,rep29,2026-06-18T01:41:13+00:00,2026-06-18T01:45:30+00:00,257.0,1868.0323823251836,1.478167,52.7784805,56.00301255,60010.561041,0.0,138.83076912123676,35464,0.0221069253327317,784,34680,8,500,35464,7.942851513941632,88.26661548333334,0.0,39.00591124802264,,,,,,,,,,,,,
A1,500,rep30,2026-06-18T02:10:33+00:00,2026-06-18T02:14:49+00:00,256.0,1869.95611549668,1.49882,52.874131600000005,56.134748199999954,60006.535234,0.0,138.7699051136848,35445,0.022175201015658,786,34659,8,500,35445,58.08122535487587,93.0406619,0.0,78.49166666666667,,,,,,,,,,,,,
A1,1000,rep01,2026-06-24T01:23:35+00:00,2026-06-24T01:28:06+00:00,271.0,2235.184059970433,1.171441,53.52757879999999,3341.812690299992,60024.024698,0.0,145.84542166360583,39215,0.0984317225551447,3860,35355,4,1000,39215,42.73714085676248,134.59072317152524,0.0,77.94201061025659,,,,,,,,,,,,,
A1,1000,rep02,2026-06-24T01:30:10+00:00,2026-06-24T01:34:40+00:00,270.0,2291.1076684533714,1.021587,53.184298,4016.388025,60012.733452,0.0,145.87801953303602,39261,0.0970683375359771,3811,35450,1,1000,39261,60.0537748594298,131.84897081666668,0.0,76.89489809511123,,,,,,,,,,,,,
A1,1000,rep03,2026-06-24T01:36:43+00:00,2026-06-24T01:41:13+00:00,270.0,2300.3289339402645,1.175217,53.467755,4673.818659,60022.901505,0.0,145.66303272976316,39271,0.0966361946474497,3795,35476,4,1000,39271,34.73305707715482,122.58522331339506,0.0,78.0408054318269,,,,,,,,,,,,,
A1,1000,rep04,2026-06-24T01:43:17+00:00,2026-06-24T01:47:46+00:00,269.0,2240.2118045060333,1.0963545,53.368374200000005,2802.8080303999927,60014.446315,0.0,146.44711287915257,39274,0.0982329276366043,3858,35416,2,1000,39274,37.47801088964194,120.25759698333331,0.0,78.0408054318269,,,,,,,,,,,,,
